employeeNumber,employeeName,periodStart,periodEnd,basicSalary,riceSubsidy,phoneAllowance,clothingAllowance,grossSalary,sss,philhealth,pagibig,tax,netSalary
10032,John Rafael Castro,2024-06-01,2024-06-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10033,Carlos Ian Martinez,2024-06-01,2024-06-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10034,Beatriz Santos,2024-06-01,2024-06-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10001,Manuel III Garcia,2024-12-01,2024-12-31,90000.0,1500.0,2000.0,1000.0,94500.0,1750.0,2250.0,100.0,16602.9,73797.1
10002,Antonio Lim,2024-12-01,2024-12-31,60000.0,1500.0,2000.0,1000.0,64500.0,1750.0,1500.0,100.0,8329.25,52820.75
10003,Bianca Sofia Aquino,2024-12-01,2024-12-31,60000.0,1500.0,2000.0,1000.0,64500.0,1750.0,1500.0,100.0,8329.25,52820.75
10004,Isabella Reyes,2024-12-01,2024-12-31,60000.0,1500.0,2000.0,1000.0,64500.0,1750.0,1500.0,100.0,8329.25,52820.75
10005,Eduard Hernandez,2024-12-01,2024-12-31,52670.0,1500.0,1000.0,1000.0,56170.0,1750.0,1316.75,100.0,6542.56,46460.69
10006,Andrea Mae Villanueva,2024-12-01,2024-12-31,52670.0,1500.0,1000.0,1000.0,56170.0,1750.0,1316.75,100.0,6542.56,46460.69
10007,Brad San Jose,2024-12-01,2024-12-31,42975.0,1500.0,800.0,800.0,46075.0,1750.0,1074.38,100.0,4179.41,38971.21
10008,Alice Romualdez,2024-12-01,2024-12-31,22500.0,1500.0,500.0,500.0,25000.0,1125.0,562.5,100.0,0.0,23212.5
10009,Rosie Atienza,2024-12-01,2024-12-31,22500.0,1500.0,500.0,500.0,25000.0,1125.0,562.5,100.0,0.0,23212.5
10010,Roderick Alvaro,2024-12-01,2024-12-31,52670.0,1500.0,1000.0,1000.0,56170.0,1750.0,1316.75,100.0,6542.56,46460.69
10011,Anthony Salcedo,2024-12-01,2024-12-31,50825.0,1500.0,1000.0,1000.0,54325.0,1750.0,1270.63,100.0,6092.84,45111.53
10012,Josie Lopez,2024-12-01,2024-12-31,38475.0,1500.0,800.0,800.0,41575.0,1750.0,961.88,100.0,3082.53,35680.59
10013,Martha Farala,2024-12-01,2024-12-31,24000.0,1500.0,500.0,500.0,26500.0,1200.0,600.0,100.0,253.4,24346.6
10014,Leila Martinez,2024-12-01,2024-12-31,24000.0,1500.0,500.0,500.0,26500.0,1200.0,600.0,100.0,253.4,24346.6
10015,Fredrick Romualdez,2024-12-01,2024-12-31,53500.0,1500.0,1000.0,1000.0,57000.0,1750.0,1337.5,100.0,6744.88,47067.62
10016,Christian Mata,2024-12-01,2024-12-31,42975.0,1500.0,800.0,800.0,46075.0,1750.0,1074.38,100.0,4179.41,38971.21
10017,Selena De Leon,2024-12-01,2024-12-31,41850.0,1500.0,800.0,800.0,44950.0,1750.0,1046.25,100.0,3905.19,38148.56
10018,Allison San Jose,2024-12-01,2024-12-31,22500.0,1500.0,500.0,500.0,25000.0,1125.0,562.5,100.0,0.0,23212.5
10019,Cydney Rosario,2024-12-01,2024-12-31,22500.0,1500.0,500.0,500.0,25000.0,1125.0,562.5,100.0,0.0,23212.5
10020,Mark Bautista,2024-12-01,2024-12-31,23250.0,1500.0,500.0,500.0,25750.0,1162.5,581.25,100.0,114.65,23791.6
10021,Darlene Lazaro,2024-12-01,2024-12-31,23250.0,1500.0,500.0,500.0,25750.0,1162.5,581.25,100.0,114.65,23791.6
10022,Kolby Delos Santos,2024-12-01,2024-12-31,24000.0,1500.0,500.0,500.0,26500.0,1200.0,600.0,100.0,253.4,24346.6
10023,Vella Santos,2024-12-01,2024-12-31,22500.0,1500.0,500.0,500.0,25000.0,1125.0,562.5,100.0,0.0,23212.5
10024,Tomas Del Rosario,2024-12-01,2024-12-31,22500.0,1500.0,500.0,500.0,25000.0,1125.0,562.5,100.0,0.0,23212.5
10025,Jacklyn Tolentino,2024-12-01,2024-12-31,24000.0,1500.0,500.0,500.0,26500.0,1200.0,600.0,100.0,253.4,24346.6
10026,Percival Gutierrez,2024-12-01,2024-12-31,24750.0,1500.0,500.0,500.0,27250.0,1237.5,618.75,100.0,392.15,24901.6
10027,Garfield Manalaysay,2024-12-01,2024-12-31,24750.0,1500.0,500.0,500.0,27250.0,1237.5,618.75,100.0,392.15,24901.6
10028,Lizeth Villegas,2024-12-01,2024-12-31,24000.0,1500.0,500.0,500.0,26500.0,1200.0,600.0,100.0,253.4,24346.6
10029,Carol Ramos,2024-12-01,2024-12-31,22500.0,1500.0,500.0,500.0,25000.0,1125.0,562.5,100.0,0.0,23212.5
10030,Emelia Maceda,2024-12-01,2024-12-31,22500.0,1500.0,500.0,500.0,25000.0,1125.0,562.5,100.0,0.0,23212.5
10031,Delia Aguilar,2024-12-01,2024-12-31,22500.0,1500.0,500.0,500.0,25000.0,1125.0,562.5,100.0,0.0,23212.5
10032,John Rafael Castro,2024-12-01,2024-12-31,52670.0,1500.0,1000.0,1000.0,56170.0,1750.0,1316.75,100.0,6542.56,46460.69
10033,Carlos Ian Martinez,2024-12-01,2024-12-31,52670.0,1500.0,1000.0,1000.0,56170.0,1750.0,1316.75,100.0,6542.56,46460.69
10034,Beatriz Santos,2024-12-01,2024-12-31,52670.0,1500.0,1000.0,1000.0,56170.0,1750.0,1316.75,100.0,6542.56,46460.69
10001,Manuel III Garcia,2024-11-01,2024-11-15,45000.0,0.0,0.0,0.0,45000.0,0.0,0.0,0.0,0.0,45000.0
10002,Antonio Lim,2024-11-01,2024-11-15,30000.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,30000.0
10003,Bianca Sofia Aquino,2024-11-01,2024-11-15,30000.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,30000.0
10004,Isabella Reyes,2024-11-01,2024-11-15,30000.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,30000.0
10005,Eduard Hernandez,2024-11-01,2024-11-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10006,Andrea Mae Villanueva,2024-11-01,2024-11-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10007,Brad San Jose,2024-11-01,2024-11-15,21487.5,0.0,0.0,0.0,21487.5,0.0,0.0,0.0,0.0,21487.5
10008,Alice Romualdez,2024-11-01,2024-11-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10009,Rosie Atienza,2024-11-01,2024-11-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10010,Roderick Alvaro,2024-11-01,2024-11-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10011,Anthony Salcedo,2024-11-01,2024-11-15,25412.5,0.0,0.0,0.0,25412.5,0.0,0.0,0.0,0.0,25412.5
10012,Josie Lopez,2024-11-01,2024-11-15,19237.5,0.0,0.0,0.0,19237.5,0.0,0.0,0.0,0.0,19237.5
10013,Martha Farala,2024-11-01,2024-11-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10014,Leila Martinez,2024-11-01,2024-11-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10015,Fredrick Romualdez,2024-11-01,2024-11-15,26750.0,0.0,0.0,0.0,26750.0,0.0,0.0,0.0,0.0,26750.0
10016,Christian Mata,2024-11-01,2024-11-15,21487.5,0.0,0.0,0.0,21487.5,0.0,0.0,0.0,0.0,21487.5
10017,Selena De Leon,2024-11-01,2024-11-15,20925.0,0.0,0.0,0.0,20925.0,0.0,0.0,0.0,0.0,20925.0
10018,Allison San Jose,2024-11-01,2024-11-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10019,Cydney Rosario,2024-11-01,2024-11-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10020,Mark Bautista,2024-11-01,2024-11-15,11625.0,0.0,0.0,0.0,11625.0,0.0,0.0,0.0,0.0,11625.0
10021,Darlene Lazaro,2024-11-01,2024-11-15,11625.0,0.0,0.0,0.0,11625.0,0.0,0.0,0.0,0.0,11625.0
10022,Kolby Delos Santos,2024-11-01,2024-11-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10023,Vella Santos,2024-11-01,2024-11-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10024,Tomas Del Rosario,2024-11-01,2024-11-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10025,Jacklyn Tolentino,2024-11-01,2024-11-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10026,Percival Gutierrez,2024-11-01,2024-11-15,12375.0,0.0,0.0,0.0,12375.0,0.0,0.0,0.0,0.0,12375.0
10027,Garfield Manalaysay,2024-11-01,2024-11-15,12375.0,0.0,0.0,0.0,12375.0,0.0,0.0,0.0,0.0,12375.0
10028,Lizeth Villegas,2024-11-01,2024-11-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10029,Carol Ramos,2024-11-01,2024-11-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10030,Emelia Maceda,2024-11-01,2024-11-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10031,Delia Aguilar,2024-11-01,2024-11-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10032,John Rafael Castro,2024-11-01,2024-11-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10033,Carlos Ian Martinez,2024-11-01,2024-11-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10034,Beatriz Santos,2024-11-01,2024-11-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10001,Manuel III Garcia,2024-12-01,2024-12-15,45000.0,0.0,0.0,0.0,45000.0,0.0,0.0,0.0,0.0,45000.0
10002,Antonio Lim,2024-12-01,2024-12-15,30000.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,30000.0
10003,Bianca Sofia Aquino,2024-12-01,2024-12-15,30000.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,30000.0
10004,Isabella Reyes,2024-12-01,2024-12-15,30000.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,30000.0
10005,Eduard Hernandez,2024-12-01,2024-12-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10006,Andrea Mae Villanueva,2024-12-01,2024-12-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10007,Brad San Jose,2024-12-01,2024-12-15,21487.5,0.0,0.0,0.0,21487.5,0.0,0.0,0.0,0.0,21487.5
10008,Alice Romualdez,2024-12-01,2024-12-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10009,Rosie Atienza,2024-12-01,2024-12-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10010,Roderick Alvaro,2024-12-01,2024-12-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10011,Anthony Salcedo,2024-12-01,2024-12-15,25412.5,0.0,0.0,0.0,25412.5,0.0,0.0,0.0,0.0,25412.5
10012,Josie Lopez,2024-12-01,2024-12-15,19237.5,0.0,0.0,0.0,19237.5,0.0,0.0,0.0,0.0,19237.5
10013,Martha Farala,2024-12-01,2024-12-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10014,Leila Martinez,2024-12-01,2024-12-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10015,Fredrick Romualdez,2024-12-01,2024-12-15,26750.0,0.0,0.0,0.0,26750.0,0.0,0.0,0.0,0.0,26750.0
10016,Christian Mata,2024-12-01,2024-12-15,21487.5,0.0,0.0,0.0,21487.5,0.0,0.0,0.0,0.0,21487.5
10017,Selena De Leon,2024-12-01,2024-12-15,20925.0,0.0,0.0,0.0,20925.0,0.0,0.0,0.0,0.0,20925.0
10018,Allison San Jose,2024-12-01,2024-12-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10019,Cydney Rosario,2024-12-01,2024-12-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10020,Mark Bautista,2024-12-01,2024-12-15,11625.0,0.0,0.0,0.0,11625.0,0.0,0.0,0.0,0.0,11625.0
10021,Darlene Lazaro,2024-12-01,2024-12-15,11625.0,0.0,0.0,0.0,11625.0,0.0,0.0,0.0,0.0,11625.0
10022,Kolby Delos Santos,2024-12-01,2024-12-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10023,Vella Santos,2024-12-01,2024-12-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10024,Tomas Del Rosario,2024-12-01,2024-12-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10025,Jacklyn Tolentino,2024-12-01,2024-12-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10026,Percival Gutierrez,2024-12-01,2024-12-15,12375.0,0.0,0.0,0.0,12375.0,0.0,0.0,0.0,0.0,12375.0
10027,Garfield Manalaysay,2024-12-01,2024-12-15,12375.0,0.0,0.0,0.0,12375.0,0.0,0.0,0.0,0.0,12375.0
10028,Lizeth Villegas,2024-12-01,2024-12-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10029,Carol Ramos,2024-12-01,2024-12-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10030,Emelia Maceda,2024-12-01,2024-12-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10031,Delia Aguilar,2024-12-01,2024-12-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10032,John Rafael Castro,2024-12-01,2024-12-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10033,Carlos Ian Martinez,2024-12-01,2024-12-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10034,Beatriz Santos,2024-12-01,2024-12-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10001,Manuel III Garcia,2024-08-01,2024-08-15,45000.0,0.0,0.0,0.0,45000.0,0.0,0.0,0.0,0.0,45000.0
10002,Antonio Lim,2024-08-01,2024-08-15,30000.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,30000.0
10003,Bianca Sofia Aquino,2024-08-01,2024-08-15,30000.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,30000.0
10004,Isabella Reyes,2024-08-01,2024-08-15,30000.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,30000.0
10005,Eduard Hernandez,2024-08-01,2024-08-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10006,Andrea Mae Villanueva,2024-08-01,2024-08-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10007,Brad San Jose,2024-08-01,2024-08-15,21487.5,0.0,0.0,0.0,21487.5,0.0,0.0,0.0,0.0,21487.5
10008,Alice Romualdez,2024-08-01,2024-08-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10009,Rosie Atienza,2024-08-01,2024-08-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10010,Roderick Alvaro,2024-08-01,2024-08-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10011,Anthony Salcedo,2024-08-01,2024-08-15,25412.5,0.0,0.0,0.0,25412.5,0.0,0.0,0.0,0.0,25412.5
10012,Josie Lopez,2024-08-01,2024-08-15,19237.5,0.0,0.0,0.0,19237.5,0.0,0.0,0.0,0.0,19237.5
10013,Martha Farala,2024-08-01,2024-08-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10014,Leila Martinez,2024-08-01,2024-08-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10015,Fredrick Romualdez,2024-08-01,2024-08-15,26750.0,0.0,0.0,0.0,26750.0,0.0,0.0,0.0,0.0,26750.0
10016,Christian Mata,2024-08-01,2024-08-15,21487.5,0.0,0.0,0.0,21487.5,0.0,0.0,0.0,0.0,21487.5
10017,Selena De Leon,2024-08-01,2024-08-15,20925.0,0.0,0.0,0.0,20925.0,0.0,0.0,0.0,0.0,20925.0
10018,Allison San Jose,2024-08-01,2024-08-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10019,Cydney Rosario,2024-08-01,2024-08-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10020,Mark Bautista,2024-08-01,2024-08-15,11625.0,0.0,0.0,0.0,11625.0,0.0,0.0,0.0,0.0,11625.0
10021,Darlene Lazaro,2024-08-01,2024-08-15,11625.0,0.0,0.0,0.0,11625.0,0.0,0.0,0.0,0.0,11625.0
10022,Kolby Delos Santos,2024-08-01,2024-08-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10023,Vella Santos,2024-08-01,2024-08-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10024,Tomas Del Rosario,2024-08-01,2024-08-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10025,Jacklyn Tolentino,2024-08-01,2024-08-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10026,Percival Gutierrez,2024-08-01,2024-08-15,12375.0,0.0,0.0,0.0,12375.0,0.0,0.0,0.0,0.0,12375.0
10027,Garfield Manalaysay,2024-08-01,2024-08-15,12375.0,0.0,0.0,0.0,12375.0,0.0,0.0,0.0,0.0,12375.0
10028,Lizeth Villegas,2024-08-01,2024-08-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10029,Carol Ramos,2024-08-01,2024-08-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10030,Emelia Maceda,2024-08-01,2024-08-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10031,Delia Aguilar,2024-08-01,2024-08-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10032,John Rafael Castro,2024-08-01,2024-08-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10033,Carlos Ian Martinez,2024-08-01,2024-08-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10034,Beatriz Santos,2024-08-01,2024-08-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10021,Darlene Lazaro,2026-03-01,2026-03-15,184.06,0.0,0.0,0.0,184.06,0.0,0.0,0.0,0.0,184.06
10001,Manuel III Garcia,2024-07-01,2024-07-15,55140.63,0.0,0.0,0.0,55140.63,0.0,0.0,0.0,0.0,55140.63
10002,Antonio Lim,2024-07-01,2024-07-15,33881.87,0.0,0.0,0.0,33881.87,0.0,0.0,0.0,0.0,33881.87
10003,Bianca Sofia Aquino,2024-07-01,2024-07-15,37196.13,0.0,0.0,0.0,37196.13,0.0,0.0,0.0,0.0,37196.13
10004,Isabella Reyes,2024-07-01,2024-07-15,36310.42,0.0,0.0,0.0,36310.42,0.0,0.0,0.0,0.0,36310.42
10005,Eduard Hernandez,2024-07-01,2024-07-15,29614.15,0.0,0.0,0.0,29614.15,0.0,0.0,0.0,0.0,29614.15
10006,Andrea Mae Villanueva,2024-07-01,2024-07-15,29357.08,0.0,0.0,0.0,29357.08,0.0,0.0,0.0,0.0,29357.08
10007,Brad San Jose,2024-07-01,2024-07-15,26761.8,0.0,0.0,0.0,26761.8,0.0,0.0,0.0,0.0,26761.8
10008,Alice Romualdez,2024-07-01,2024-07-15,13000.59,0.0,0.0,0.0,13000.59,0.0,0.0,0.0,0.0,13000.59
10009,Rosie Atienza,2024-07-01,2024-07-15,12365.76,0.0,0.0,0.0,12365.76,0.0,0.0,0.0,0.0,12365.76
10010,Roderick Alvaro,2024-07-01,2024-07-15,32084.61,0.0,0.0,0.0,32084.61,0.0,0.0,0.0,0.0,32084.61
10011,Anthony Salcedo,2024-07-01,2024-07-15,30386.11,0.0,0.0,0.0,30386.11,0.0,0.0,0.0,0.0,30386.11
10012,Josie Lopez,2024-07-01,2024-07-15,22778.33,0.0,0.0,0.0,22778.33,0.0,0.0,0.0,0.0,22778.33
10013,Martha Farala,2024-07-01,2024-07-15,13847.42,0.0,0.0,0.0,13847.42,0.0,0.0,0.0,0.0,13847.42
10014,Leila Martinez,2024-07-01,2024-07-15,14157.43,0.0,0.0,0.0,14157.43,0.0,0.0,0.0,0.0,14157.43
10015,Fredrick Romualdez,2024-07-01,2024-07-15,30657.18,0.0,0.0,0.0,30657.18,0.0,0.0,0.0,0.0,30657.18
10016,Christian Mata,2024-07-01,2024-07-15,25262.81,0.0,0.0,0.0,25262.81,0.0,0.0,0.0,0.0,25262.81
10017,Selena De Leon,2024-07-01,2024-07-15,25630.93,0.0,0.0,0.0,25630.93,0.0,0.0,0.0,0.0,25630.93
10018,Allison San Jose,2024-07-01,2024-07-15,13688.99,0.0,0.0,0.0,13688.99,0.0,0.0,0.0,0.0,13688.99
10019,Cydney Rosario,2024-07-01,2024-07-15,13512.2,0.0,0.0,0.0,13512.2,0.0,0.0,0.0,0.0,13512.2
10020,Mark Bautista,2024-07-01,2024-07-15,13386.46,0.0,0.0,0.0,13386.46,0.0,0.0,0.0,0.0,13386.46
10021,Darlene Lazaro,2024-07-01,2024-07-15,13221.78,0.0,0.0,0.0,13221.78,0.0,0.0,0.0,0.0,13221.78
10022,Kolby Delos Santos,2024-07-01,2024-07-15,14128.85,0.0,0.0,0.0,14128.85,0.0,0.0,0.0,0.0,14128.85
10023,Vella Santos,2024-07-01,2024-07-15,12452.81,0.0,0.0,0.0,12452.81,0.0,0.0,0.0,0.0,12452.81
10024,Tomas Del Rosario,2024-07-01,2024-07-15,13151.93,0.0,0.0,0.0,13151.93,0.0,0.0,0.0,0.0,13151.93
10025,Jacklyn Tolentino,2024-07-01,2024-07-15,13990.28,0.0,0.0,0.0,13990.28,0.0,0.0,0.0,0.0,13990.28
10026,Percival Gutierrez,2024-07-01,2024-07-15,15084.09,0.0,0.0,0.0,15084.09,0.0,0.0,0.0,0.0,15084.09
